LIBELLE,CLI_ID
DEO PARFUME 100ML EVIDENCE,23990
DEO PARFUME 100ML SO ELIXIR PURPLE,2844
DEO PARFUME NATURE HOMME 100ML,5124
DEO ROSE SECRET  FL 100ML,1
DEO SPRAY EVIDENCE HOMME 100ML,5603
DEODORANT SENSITIVE 50ML,925
DESINCRUSTANT ENERGIE T 100ML,4571
DISSOLVANT FLACON MANUC CN3 100ML,44890
DISSOLVANT STYLO MANUC CN3 3ML,4866
DOUCH GOMMANTE F ROUGES F200 ML,14253
DOUCH GOMMANTE FRUITS NOIRS T 200 ML,13187
DUO BEAUTE ECLAT 2X6ML GEST/INST,342
DUO BRONZER HALE LEGER CN3 10.5G,3134
DUO BRONZER HALE MAT CN3 10.5G,3145
DUO ILLUMIN ECL/UNIVERSEL CN3 10.5G,2
DUO ILLUMINA ECL/ROS OS09 CN3 10.5G,2
DUO KHO BLEU/ORA/PAON HI13 ANI L4 2X0.52,245
DUO KHO GRIS/MANDAR HIV13 ANI L4 2X0.52G,337
DUO KHO MENTROP/BOU ETE13 ANI LU4 2X0.52,289
DUO KHO VER/BLPROF ETE13 ANI LU4 2X0.52,226
"DUO KHOL AMETH/VER NOEL12 L4 ANI 2X0,52G",139
DUO KHOL CUIVR/BRUN NOEL11A/TLU3 2X0.52G,13
DUO KHOL KAKI/CAMEL ETE12 LU4 ANI 2X0.52,11
"DUO KHOL MAUV/MARI NOEL12 L4 ANI 2X0,52G",163
"DUO KHOL OR/VERT NOEL11A/T LU3 2X0,52G",3
DUO KHOL POURP/OR ETE12 LU4 ANI 2X0.52,6
DUO PDRE HAL/MAT02 AX/SOLA CN3 20G,10133
EAU DE SOIN VEGETALE 100ML,4320
EAU DEMAQ PUR BLEUET FL200ML,17193
EAU DEMELANTE 200ML,4612
"EAU DES CILS OR/TRANS ETE12 L4 ANI 4,5ML",3
EAU FRAICHE P/API 75ML 2003,32
EAU MICELLAIRE 3 THES FL200ML,22663
EAU MICELLAIRE HYDRATANTE 200ML,15738
EAU MICELLAIRE PURIFIANTE 2EN1 200 SEBO,14463
EAU NACRES ARGENT ANI HIV13 LU4 30ML,190
EAU PARF EXOT MONOI TAHITI 125,91
EAU POMME  DE REINETTE VAPO 75ML,2
EAU SCINTIL OR COLLECTOR14 30ML,961
EDC FRAICHEUR CEDRE BLEU 125ML,4
EDC FRAICHEUR VERVEINE 125ML,23686
EDC THE VERT VAPO 125ML  F . V,24004
EDP  SO  ELIXIR VAPO 30ML,5678
EDP 30ML SO ELIXIR PURPLE,7941
EDP 50ML SO  ELIXIR  PURPLE,4841
EDP AMBRE S.E VAPO 30ML,698
EDP COCON NEONATURA VAPO 50ML RELIFT,3
EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,1607
EDP EVIDENCE 50 EDITION LIMITE 2007,1
EDP EVIDENCE 50ML RELIFTING,30093
EDP EVIDENCE VAPO 100ML,16113
EDP EVIDENCE VAPO DE SAC 15ML,12
EDP FLOWERPARTY BY NIGHT 30ML,2682
EDP FLOWERPARTY BY NIGHT 50ML,2805
EDP INTENSE  EVIDENCE VAPO DE SAC 15ML,524
EDP INTENSE EVIDENCE 50ML,16608
EDP IRIS NOIR S.E VAPO 30ML,3
EDP IRIS NOIR SE VAPO 50ML,290
EDP JASMIN SE VAPO 30ML,5436
EDP JASMIN SEC ESS VAPO 50ML,4027
EDP JASMIN SEC ESS VAPSAC 15ML,2
EDP MING SHU 30 ML,3
EDP MOMENT DE BONHEUR VAPO 30ML,6197
EDP MOMENT DE BONHEUR VAPO 50ML,4419
EDP NEROLI SECRETS ESSENCES  50ML,4083
EDP NEROLI SECRETS ESSENCES 30ML,5172
EDP QQUES NOTES D'AMOUR  30ML,7634
EDP QQUES NOTES D'AMOUR 50ML,9168
EDP S.E. TEND JASMIN  VAPO SAC 15ML OS13,6
EDP SE VOILE D'AMBRE VP 50ML,1313
EDP SO   ELIXIR VAPO 50ML,4376
EDP SO ELIXIR VAPO SAC 15ML,10
EDP UN BONHEUR VAPO SAC 15ML,47
EDP VANILLE NOIRE S.E VAPO 30ML,1674
EDP VANILLE NOIRE S.E VAPO 50ML,1727
EDP VANILLE NOIRE SE EDIT LIMIT 30ML,5
EDP VAPO DE SAC 15ML QQNA OSFA 2015,460
EDP VAPO DE SAC 15ML SO ELIXIR PURPLE,71
EDP YRIA 30 ML,1
EDP YRIA 50 ML,77
EDT  75ML COLLECTION ETE  2014,12408
EDT  FRUITS ROUGES PN 100ML  VPM,760
EDT  FRUITS ROUGES PN 20 ML,616
EDT  POIRE CARAMEL  PN 100ML  VPM,6019
EDT  UMAJ  100ML  CERISIERS EN FLEURS,17268
EDT  UMAJ  20ML  CERISIERS EN FLEURS,738
EDT  UN MATIN AU JARDIN  100ML  MUGUET,14236
